SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,AVLTreeSortNComp,AVLTreeSortTns,
seq_50_45,1225,212000,592,110100,221,48900,213,61700,
seq_50_46,1225,190600,605,124200,225,62200,208,41700,
seq_50_47,1225,480500,659,125900,224,120900,214,84700,
seq_50_48,1225,223000,702,88000,231,58700,220,49800,
seq_50_49,1225,122000,732,228500,225,93900,224,121000,
seq_50_50,1225,60800,705,210500,226,47200,229,98700,
seq_50_51,1225,59200,614,180200,214,73300,220,107700,
seq_50_52,1225,54000,575,69200,226,54300,204,238800,
seq_50_53,1225,173200,610,264500,223,85000,219,98300,
seq_50_54,1225,160400,716,88800,225,141400,224,99300,
seq_50_55,1225,68700,623,251500,216,49600,222,69000,
seq_50_56,1225,922200,623,220400,223,85800,218,72400,
seq_50_57,1225,182200,662,102200,220,50400,222,88400,
seq_50_58,1225,69100,598,248300,227,63500,232,97200,
seq_50_59,1225,54500,610,82500,223,53000,221,34500,
seq_50_60,1225,137400,542,78300,227,136900,226,42600,
seq_50_61,1225,161400,643,251700,222,103700,214,94600,
seq_50_62,1225,155200,673,99300,223,50900,220,58000,
seq_50_63,1225,58100,658,84800,225,46900,212,44700,
seq_50_64,1225,148700,726,102600,214,67700,215,46000,
seq_50_65,1225,56800,680,90100,223,75800,214,62700,
seq_50_66,1225,1169700,752,109800,227,65900,221,71300,
seq_50_67,1225,54000,648,105700,226,58200,218,40900,
seq_50_68,1225,67200,651,199600,224,88700,216,37500,
seq_50_69,1225,68600,670,81900,227,28800,220,31900,
seq_50_70,1225,30300,600,49100,225,40700,218,29000,
seq_50_71,1225,82100,642,75300,224,23500,219,37700,
seq_50_72,1225,68800,680,200400,223,24600,218,105000,
seq_50_73,1225,148700,633,102900,222,35900,218,51300,
seq_50_74,1225,159300,705,249100,221,43900,218,45700,
seq_50_75,1225,43600,624,111200,221,17800,220,36300,
seq_50_76,1225,48100,609,95300,222,13100,228,25200,
seq_50_77,1225,33200,730,54700,226,13000,202,20400,
seq_50_78,1225,113100,650,213500,220,23200,218,32500,
seq_50_79,1225,79300,632,234100,221,25600,224,49300,
seq_50_80,1225,147600,625,96600,221,36100,220,47900,
seq_50_81,1225,150100,667,103200,219,126200,210,43800,
seq_50_82,1225,187300,737,96000,224,27900,217,56600,
seq_50_83,1225,162100,627,259300,216,53000,216,35600,
seq_50_84,1225,160500,644,80600,221,23200,212,35300,
seq_50_85,1225,56800,781,134800,222,34800,222,80400,
seq_50_86,1225,161600,696,280300,223,38500,212,38700,
seq_50_87,1225,149900,683,117000,222,116700,221,60900,
seq_50_88,1225,179800,587,320500,220,58000,224,79700,
seq_50_89,1225,112100,755,280000,218,20300,214,26700,
seq_50_90,1225,178300,736,367600,229,28600,222,134700,
seq_50_91,1225,58300,566,87300,220,28200,208,169700,
seq_50_92,1225,176900,731,365300,215,28100,213,85500,
seq_50_93,1225,161900,694,73000,222,23000,222,162400,
seq_50_94,1225,170400,729,27500,216,28900,216,166300,
seq_50_95,1225,59300,747,36700,226,20200,215,32200,
seq_50_96,1225,61400,545,19700,223,31700,216,44300,
seq_50_97,1225,595600,629,29300,226,29100,204,34900,
seq_50_98,1225,201100,550,22000,221,25500,207,32700,
seq_50_99,1225,103900,673,49200,225,74300,212,99200,
seq_100_0,4950,561800,2624,81900,533,40100,530,62500,
seq_100_1,4950,534200,2812,112300,547,58500,509,77000,
seq_100_2,4950,728800,2660,77700,542,33700,525,64900,
seq_100_3,4950,463100,2484,125200,543,51700,536,58300,
seq_100_4,4950,620200,2717,110500,548,41100,542,47000,
seq_100_5,4950,412200,2514,74100,546,97700,529,43300,
seq_100_6,4950,664600,2503,122600,538,45800,532,51100,
seq_100_7,4950,321500,2764,129200,540,57500,517,81700,
seq_100_8,4950,644300,2642,58000,542,53700,544,34700,
seq_100_9,4950,570500,2363,115300,538,49000,526,51500,
seq_100_10,4950,670800,2738,116600,537,110400,526,72100,
seq_100_11,4950,344700,2709,240900,540,53500,530,59400,
seq_100_12,4950,668200,2333,60300,532,49600,523,32100,
seq_100_13,4950,441600,2517,109200,535,59000,541,80500,
seq_100_14,4950,652400,2440,115100,540,45500,530,47300,
seq_100_15,4950,443500,2438,58900,545,39700,528,50100,
seq_100_16,4950,621400,2338,86500,542,74200,525,56400,
seq_100_17,4950,34600,2846,98800,529,87700,539,48400,
seq_100_18,4950,31200,2482,113200,540,196800,523,69600,
seq_100_19,4950,35000,2352,88300,541,45700,534,88400,
seq_100_20,4950,54100,2748,96900,543,218200,530,43400,
seq_100_21,4950,30400,2578,113800,539,196000,519,138600,
seq_100_22,4950,35700,2620,103200,531,179900,536,58800,
seq_100_23,4950,33800,2497,104600,539,88300,521,58500,
seq_100_24,4950,34300,2780,100800,544,41300,524,157700,
seq_100_25,4950,42600,2487,144200,548,196000,526,135000,
seq_100_26,4950,45300,2679,104300,534,46000,525,102600,
seq_100_27,4950,53500,2304,100700,551,59100,530,71900,
seq_100_28,4950,47500,2369,92100,546,45900,517,74900,
seq_100_29,4950,30100,2355,102200,539,45000,531,162900,
seq_100_30,4950,43200,2400,92400,537,44100,527,166000,
seq_100_31,4950,37000,2660,101400,542,165300,535,151100,
seq_100_32,4950,31500,3025,386800,544,1183500,526,64000,
seq_100_33,4950,542300,2499,136600,545,78000,530,105100,
seq_100_34,4950,37400,2398,97900,555,181000,541,60600,
seq_100_35,4950,35300,2426,91300,538,140700,523,73000,
seq_100_36,4950,32700,2730,121000,545,193800,543,71500,
seq_100_37,4950,132800,2714,119200,551,92100,532,124700,
seq_100_38,4950,32700,2591,105700,549,195900,533,79900,
seq_100_39,4950,35100,2583,95500,537,141300,531,78600,
seq_100_40,4950,118500,2452,458300,541,38500,544,60800,
seq_100_41,4950,31000,2216,92900,545,63100,514,44000,
seq_100_42,4950,37800,2247,80700,546,199000,532,60600,
seq_100_43,4950,37400,2417,90900,535,53500,525,50800,
seq_100_44,4950,40600,2604,101500,543,169800,544,66800,
seq_100_45,4950,30600,2649,112900,542,135100,546,90800,
seq_100_46,4950,122300,2758,162600,542,69300,533,57700,
seq_100_47,4950,119000,2659,99700,540,155000,540,52400,
seq_100_48,4950,30500,2492,111600,534,57000,530,60700,
seq_100_49,4950,35700,2387,10700,539,46800,530,70600,
seq_100_50,4950,163800,2658,14600,532,48100,518,197100,
seq_100_51,4950,46900,2504,24200,541,261200,538,54800,
seq_100_52,4950,34000,2555,23900,533,46400,549,53100,
seq_100_53,4950,38300,2678,12800,543,46200,549,67900,
seq_100_54,4950,31800,2603,16200,550,350200,539,44000,
seq_100_55,4950,31500,2846,11900,540,43100,523,50800,
seq_100_56,4950,37000,2569,17500,545,50700,530,46400,
seq_100_57,4950,142700,2404,16700,544,49300,526,219900,
seq_100_58,4950,31800,2577,11900,544,44400,533,48200,
seq_100_59,4950,121600,2697,15400,541,46300,519,52200,
seq_100_60,4950,120300,2706,19400,547,49000,533,52900,
seq_100_61,4950,126200,2852,15700,535,45200,538,50400,
seq_100_62,4950,137700,2805,17400,542,42900,528,47300,
seq_100_63,4950,33100,2394,12800,540,44100,515,49400,
seq_100_64,4950,40100,2258,10100,539,75000,541,92700,
seq_100_65,4950,34100,2566,17800,546,50400,535,59200,
seq_100_66,4950,31500,2517,17600,546,53800,518,47700,
seq_100_67,4950,36600,2717,12700,538,45500,544,54300,
seq_100_68,4950,33800,2522,127200,545,53500,529,46300,
seq_100_69,4950,30400,2518,12300,554,42500,547,50700,
seq_100_70,4950,35100,2633,16200,544,50400,534,45200,
seq_100_71,4950,34000,2880,19800,541,46500,547,44000,
seq_100_72,4950,29300,2327,10400,546,45300,524,42700,
seq_100_73,4950,34600,2437,18600,537,50900,529,39200,
seq_100_74,4950,34300,2570,158000,535,46300,517,58200,
seq_100_75,4950,44300,2561,36100,544,61600,528,116100,
seq_100_76,4950,35400,2504,17300,536,46700,533,44000,
seq_100_77,4950,34500,2464,12800,547,44300,541,40800,
seq_100_78,4950,33400,2388,16600,532,47300,517,40900,
seq_100_79,4950,31600,2929,11300,536,53600,530,56300,
seq_100_80,4950,171400,2575,28000,540,89200,522,53400,
seq_100_81,4950,34200,2826,12200,543,52600,526,42300,
seq_100_82,4950,35600,2595,18100,540,51800,526,50900,
seq_100_83,4950,34700,2492,12200,543,50600,527,55800,
seq_100_84,4950,45100,2749,77500,545,58900,524,68400,
seq_100_85,4950,69800,2695,14000,542,75900,532,58500,
seq_100_86,4950,41000,2634,11500,532,46600,529,43600,
seq_100_87,4950,34100,2480,10600,532,45800,526,44800,
seq_100_88,4950,31400,2314,10600,546,45200,534,51300,
seq_100_89,4950,31600,2661,11700,537,43100,536,47000,
seq_100_90,4950,35500,2688,11900,544,41300,523,46000,
seq_100_91,4950,32000,2866,11800,533,45300,545,45700,
seq_100_92,4950,32800,2639,11000,546,43200,529,47100,
seq_100_93,4950,32100,2406,10600,543,43800,536,47300,
seq_100_94,4950,48700,2613,27600,535,187200,528,98300,
seq_100_95,4950,35500,2422,10300,541,52500,540,64600,
seq_100_96,4950,116600,2670,10300,539,51000,518,50500,
seq_100_97,4950,35200,2476,11500,538,57200,523,44900,
seq_100_98,4950,136500,2695,16100,532,47100,537,169700,
seq_100_99,4950,33600,2768,14900,545,59300,526,43300,
seq_150_0,11175,67200,5174,35300,897,81400,875,68600,
seq_150_1,11175,201400,6045,22000,894,70400,856,100000,
seq_150_2,11175,179600,5450,18200,907,74700,876,161200,
seq_150_3,11175,211500,5134,18800,893,73800,886,109000,
seq_150_4,11175,73700,5543,22500,903,85800,864,43700,
seq_150_5,11175,77700,5375,21300,900,73800,891,69300,
seq_150_6,11175,74100,5829,24400,909,74200,882,63400,
seq_150_7,11175,63000,5487,20400,895,68700,892,61800,
seq_150_8,11175,67100,5904,22600,891,75900,866,61400,
seq_150_9,11175,44400,5871,13800,902,44200,882,55700,
seq_150_10,11175,61300,5966,17300,910,48700,860,34400,
seq_150_11,11175,44600,5757,12200,892,43800,892,37200,
seq_150_12,11175,59600,6266,13400,901,50000,883,33800,
seq_150_13,11175,54100,5798,18800,899,188000,862,149400,
seq_150_14,11175,48400,5229,14100,895,66000,867,36800,
seq_150_15,11175,73500,5452,30300,912,112900,865,50000,
seq_150_16,11175,92400,5006,30500,899,112600,886,66600,
seq_150_17,11175,51100,5676,12400,901,43800,896,40300,
seq_150_18,11175,58900,6044,20600,912,47600,875,32200,
seq_150_19,11175,50500,5060,11600,905,57800,850,31900,
seq_150_20,11175,58900,5663,12500,901,43400,868,35000,
seq_150_21,11175,46300,5682,12300,911,42500,877,40300,
seq_150_22,11175,62600,5820,12700,896,42900,891,33000,
seq_150_23,11175,47100,5856,12400,902,52600,876,33000,
seq_150_24,11175,69300,5782,22300,878,74100,873,48200,
seq_150_25,11175,83000,4961,21700,900,73400,869,48600,
seq_150_26,11175,70500,6033,23300,889,72700,880,47200,
seq_150_27,11175,73600,5529,22000,906,65500,864,56100,
seq_150_28,11175,68200,5864,23200,899,66900,900,49800,
seq_150_29,11175,68500,5985,24000,889,71300,873,48400,
seq_150_30,11175,311400,5789,36000,910,306300,869,2366800,
seq_150_31,11175,67300,6128,25100,906,78900,878,48200,
seq_150_32,11175,65600,5832,25400,898,71300,862,52800,
seq_150_33,11175,64700,5673,24500,901,114700,882,97000,
seq_150_34,11175,65100,6179,24300,904,72100,888,46700,
seq_150_35,11175,66200,5675,23200,896,67300,893,48600,
seq_150_36,11175,68400,6233,24400,897,68200,882,48100,
seq_150_37,11175,70700,5976,23300,889,71000,866,48900,
seq_150_38,11175,72600,5700,22100,905,68700,876,49300,
seq_150_39,11175,61400,6332,26200,896,96600,882,67500,
seq_150_40,11175,84500,5995,32400,887,91400,874,45500,
seq_150_41,11175,65600,5843,23700,896,77200,871,47400,
seq_150_42,11175,60500,6167,25600,903,70700,880,47600,
seq_150_43,11175,69300,5654,24200,904,65900,887,49100,
seq_150_44,11175,70700,5141,20300,906,69700,857,50000,
seq_150_45,11175,60300,6067,25400,900,72300,876,46900,
seq_150_46,11175,76300,6272,24600,904,69600,875,48300,
seq_150_47,11175,69500,5438,21500,892,65700,866,47400,
seq_150_48,11175,77800,6025,23700,901,72300,891,53000,
seq_150_49,11175,192400,5698,25100,894,68500,866,217500,
seq_150_50,11175,72600,5746,21100,910,112800,872,56500,
seq_150_51,11175,66500,5781,21000,899,70200,884,51000,
seq_150_52,11175,71400,5906,23200,898,75200,873,47500,
seq_150_53,11175,68900,5877,22600,891,70200,892,44100,
seq_150_54,11175,66800,5220,18400,904,68200,865,47200,
seq_150_55,11175,178300,6184,19900,887,261200,875,63700,
seq_150_56,11175,68200,5745,22100,896,83900,874,51200,
seq_150_57,11175,93400,5851,38200,910,163400,883,87400,
seq_150_58,11175,63900,5161,17600,909,80700,850,43400,
seq_150_59,11175,62800,6006,19700,900,66700,876,41500,
seq_150_60,11175,64400,5349,17400,906,64200,880,42000,
seq_150_61,11175,60900,5518,17800,901,64500,873,41100,
seq_150_62,11175,59400,5798,18300,897,64900,878,43600,
seq_150_63,11175,62500,5987,19100,906,65400,868,40600,
seq_150_64,11175,63300,5401,17600,903,67900,879,200000,
seq_150_65,11175,62100,5857,19000,908,69000,875,43500,
seq_150_66,11175,71400,5566,17900,892,63900,880,43500,
seq_150_67,11175,61600,5388,17400,908,64700,870,43900,
seq_150_68,11175,186600,5331,25400,898,186800,857,261400,
seq_150_69,11175,498500,5530,19400,895,75500,900,52600,
seq_150_70,11175,168100,5954,24100,910,61500,876,49000,
seq_150_71,11175,181800,6486,23900,901,62600,891,87100,
seq_150_72,11175,142800,5517,18000,890,68500,873,44500,
seq_150_73,11175,172300,5745,19100,895,63900,872,92400,
seq_150_74,11175,238700,5336,18300,904,72100,865,286100,
seq_150_75,11175,70900,5971,22400,905,64700,872,49200,
seq_150_76,11175,1227100,5997,20700,893,74500,914,46200,
seq_150_77,11175,748600,5292,32900,896,96400,871,48400,
seq_150_78,11175,742000,5138,31100,910,82300,874,62900,
seq_150_79,11175,111100,6140,30600,881,126700,867,63200,
seq_150_80,11175,217200,6096,32100,890,110500,874,76200,
seq_150_81,11175,89400,5599,18300,900,60900,871,45400,
seq_150_82,11175,178300,5737,23500,894,67100,857,47900,
seq_150_83,11175,268800,5888,148500,895,118900,863,65300,
seq_150_84,11175,76400,5859,28800,904,67800,891,65400,
seq_150_85,11175,67200,6038,19200,900,74100,864,51400,
seq_150_86,11175,189400,5521,21800,898,69300,859,137500,
seq_150_87,11175,92000,5743,29100,896,77600,890,75600,
seq_150_88,11175,183900,5855,23700,895,91200,874,50100,
seq_150_89,11175,97600,5379,25600,886,90100,886,48000,
seq_150_90,11175,207600,5295,27000,889,92900,878,60800,
seq_150_91,11175,71400,5681,102100,902,63500,893,53400,
seq_150_92,11175,194600,5504,18200,907,88000,880,44800,
seq_150_93,11175,67100,5405,34100,900,77400,874,43700,
seq_150_94,11175,65600,6298,24300,899,71200,893,50000,
seq_150_95,11175,69100,5597,21800,901,63100,873,49400,
seq_150_96,11175,145600,5701,18900,902,140600,873,92400,
seq_150_97,11175,62100,5165,20300,916,64000,860,90000,
seq_150_98,11175,172800,5958,24400,909,64200,873,264500,
seq_150_99,11175,135300,5472,26300,898,115200,866,75200,
seq_200_0,19900,234000,10004,29900,1271,251600,1242,72400,
seq_200_1,19900,226300,10214,40600,1279,259700,1232,80400,
seq_200_2,19900,237000,10090,32200,1286,146600,1260,82300,
seq_200_3,19900,229700,10043,38500,1280,239700,1244,79100,
seq_200_4,19900,130000,10790,146200,1283,119700,1247,73700,
seq_200_5,19900,116600,10330,37300,1284,84900,1220,100600,
seq_200_6,19900,118800,10204,37600,1276,87400,1226,69800,
seq_200_7,19900,165200,10387,42000,1284,141600,1221,63400,
seq_200_8,19900,115800,10665,37700,1286,89900,1249,81200,
seq_200_9,19900,113700,9294,33400,1282,84800,1260,109600,
seq_200_10,19900,109500,10289,36000,1278,84500,1221,105800,
seq_200_11,19900,110000,10587,36100,1258,95300,1247,106100,
seq_200_12,19900,107700,10557,37400,1288,80800,1244,119900,
seq_200_13,19900,114100,8828,31700,1277,85100,1226,113500,
seq_200_14,19900,108700,9723,35700,1289,89200,1229,105100,
seq_200_15,19900,105300,10242,36400,1274,87400,1276,93800,
seq_200_16,19900,169900,11067,97500,1290,101900,1223,67200,
seq_200_17,19900,284900,9243,33300,1291,90500,1226,74800,
seq_200_18,19900,135300,10229,41200,1281,178100,1250,72800,
seq_200_19,19900,116500,9691,31900,1289,66100,1261,48500,
seq_200_20,19900,117200,9621,39900,1278,90000,1212,86800,
seq_200_21,19900,124600,10182,210400,1278,121800,1270,77300,
seq_200_22,19900,110600,10147,35700,1302,93100,1246,109500,
seq_200_23,19900,117300,10053,38700,1278,84300,1242,85400,
seq_200_24,19900,110400,10004,36200,1274,75300,1227,66100,
seq_200_25,19900,126300,10739,41400,1280,88200,1225,117100,
seq_200_26,19900,297500,10516,30500,1251,75500,1260,61700,
seq_200_27,19900,244100,10570,177100,1285,142700,1242,93900,
seq_200_28,19900,235400,9904,31000,1268,62200,1246,87900,
seq_200_29,19900,255800,8812,35600,1262,64800,1220,62500,
seq_200_30,19900,123700,9560,29900,1277,62500,1264,56400,
seq_200_31,19900,805800,9982,100500,1283,94900,1256,60300,
seq_200_32,19900,123200,9701,30300,1291,232400,1236,56700,
seq_200_33,19900,219900,10100,30900,1288,221200,1238,58000,
seq_200_34,19900,147900,11081,39400,1275,64300,1249,200900,
seq_200_35,19900,245500,9734,32900,1271,60000,1243,79200,
seq_200_36,19900,244600,10870,33400,1283,61300,1242,213100,
seq_200_37,19900,209000,10168,38600,1290,192700,1226,100000,
seq_200_38,19900,197000,10465,34400,1267,136900,1226,67100,
seq_200_39,19900,184200,10725,70400,1284,62300,1238,64100,
seq_200_40,19900,273100,10467,161300,1280,98200,1237,72900,
seq_200_41,19900,230500,10671,36400,1285,184700,1256,68700,
seq_200_42,19900,240800,10231,140800,1265,74200,1224,77900,
seq_200_43,19900,242000,9780,20400,1278,61400,1247,45300,
seq_200_44,19900,240900,10425,36800,1278,133100,1228,83400,
seq_200_45,19900,479900,9982,42500,1282,115500,1242,59700,
seq_200_46,19900,263400,9518,164000,1283,101100,1229,55900,
seq_200_47,19900,240900,9771,31700,1287,73200,1209,54400,
seq_200_48,19900,238800,10722,36700,1289,199200,1274,72600,
seq_200_49,19900,221900,10738,41800,1278,200800,1238,50700,
seq_200_50,19900,218900,10271,32800,1285,61400,1235,170900,
seq_200_51,19900,113300,11076,37800,1283,84900,1246,119700,
seq_200_52,19900,108700,9683,35600,1292,84500,1257,119600,
seq_200_53,19900,116700,10680,38800,1284,80500,1252,119600,
seq_200_54,19900,110800,9680,34300,1282,58600,1210,209400,
seq_200_55,19900,109500,9653,29800,1286,77800,1236,54900,
seq_200_56,19900,202000,9675,46400,1290,81400,1248,63500,
seq_200_57,19900,109900,9876,30500,1283,64400,1217,52900,
seq_200_58,19900,111100,10285,35800,1278,58900,1245,77700,
seq_200_59,19900,119200,10177,36500,1292,55700,1226,77800,
seq_200_60,19900,110500,11151,38800,1283,60000,1240,72500,
seq_200_61,19900,109500,9570,34400,1288,58100,1238,96500,
seq_200_62,19900,106800,10762,37200,1277,58500,1250,71700,
seq_200_63,19900,109000,10361,35900,1285,58300,1248,73000,
seq_200_64,19900,110000,10630,36800,1288,57500,1221,69100,
seq_200_65,19900,110800,10891,37800,1287,59000,1242,72900,
seq_200_66,19900,105500,9752,34300,1284,63600,1259,71900,
seq_200_67,19900,111400,10509,35200,1284,57900,1257,71000,
seq_200_68,19900,104900,9534,63200,1277,92900,1270,66300,
seq_200_69,19900,110700,9775,30000,1282,75800,1252,55400,
seq_200_70,19900,188500,9909,31000,1257,70000,1248,95500,
seq_200_71,19900,113000,9901,30600,1286,68200,1218,52200,
seq_200_72,19900,111500,10679,39000,1279,58700,1236,69600,
seq_200_73,19900,107900,9883,34600,1283,54000,1233,72200,
seq_200_74,19900,110800,10656,36900,1300,58800,1243,72600,
seq_200_75,19900,114100,9263,32800,1282,58000,1224,72000,
seq_200_76,19900,109100,10196,35600,1283,58900,1235,71300,
seq_200_77,19900,114000,9564,33600,1287,66700,1214,88400,
seq_200_78,19900,107400,9803,34700,1281,80400,1240,96700,
seq_200_79,19900,107200,9698,34200,1291,79800,1237,200900,
seq_200_80,19900,318000,10104,60400,1267,48000,1226,51900,
seq_200_81,19900,293200,9942,29600,1262,63200,1262,223800,
seq_200_82,19900,220100,9660,30200,1274,252600,1233,141000,
seq_200_83,19900,118800,10206,34600,1277,60300,1257,57300,
seq_200_84,19900,114600,10102,38100,1298,61800,1226,72700,
seq_200_85,19900,121100,10478,34100,1270,62200,1246,70800,
seq_200_86,19900,116900,9611,31900,1275,79700,1264,98800,
seq_200_87,19900,120900,9754,32300,1288,85800,1249,76200,
seq_200_88,19900,110700,9282,34100,1288,104500,1221,61200,
seq_200_89,19900,119900,10472,61300,1252,87000,1240,47900,
seq_200_90,19900,115000,10353,36600,1283,89700,1237,106200,
seq_200_91,19900,109400,10749,41900,1282,83800,1248,101300,
seq_200_92,19900,113900,10606,42800,1273,101700,1227,108300,
seq_200_93,19900,110100,11211,39000,1272,82900,1215,113100,
seq_200_94,19900,135700,10416,35200,1274,86100,1276,93900,
seq_200_95,19900,110500,9865,34800,1279,83900,1254,126100,
seq_200_96,19900,107000,9686,34000,1269,81900,1233,97300,
seq_200_97,19900,132600,9910,58300,1274,198600,1238,118300,
seq_200_98,19900,113400,10696,33500,1291,95200,1260,56800,
seq_200_99,19900,132900,11319,41700,1292,89800,1245,104100,
seq_250_0,31125,180900,14903,46500,1673,157700,1619,110800,
seq_250_1,31125,165500,15004,46600,1682,158500,1640,93800,
seq_250_2,31125,174500,15586,47800,1690,171100,1620,99800,
seq_250_3,31125,179000,16147,49800,1668,158000,1648,85100,
seq_250_4,31125,172900,15811,49600,1666,162400,1639,101300,
seq_250_5,31125,175500,16131,100200,1662,155700,1621,111300,
seq_250_6,31125,199900,16226,50400,1687,145000,1621,89500,
seq_250_7,31125,178500,15532,47700,1693,162200,1605,70300,
seq_250_8,31125,172100,17518,53900,1699,167800,1610,77500,
seq_250_9,31125,179200,16135,49200,1683,167000,1644,77200,
seq_250_10,31125,184000,15937,48500,1692,116700,1596,65300,
seq_250_11,31125,176000,16693,51500,1683,125400,1640,65800,
seq_250_12,31125,178800,16204,50000,1665,127200,1586,62100,
seq_250_13,31125,283300,15273,35200,1683,115700,1599,84500,
seq_250_14,31125,185900,17018,52500,1678,79700,1623,104400,
seq_250_15,31125,254400,16319,72800,1682,86000,1619,67700,
seq_250_16,31125,176500,15880,47600,1690,96700,1605,312400,
seq_250_17,31125,294800,15687,171000,1675,103300,1613,84200,
seq_250_18,31125,437900,17213,65000,1676,58200,1587,65600,
seq_250_19,31125,291000,14817,87900,1686,99700,1611,98000,
seq_250_20,31125,313700,14527,71900,1660,107000,1646,99600,
seq_250_21,31125,184000,16439,50400,1673,163500,1643,108000,
seq_250_22,31125,175600,15307,47100,1685,160000,1654,81700,
seq_250_23,31125,477400,15564,47200,1682,105100,1613,78200,
seq_250_24,31125,176900,15797,49000,1678,138600,1635,91400,
seq_250_25,31125,173900,15407,48400,1692,76500,1649,86700,
seq_250_26,31125,174000,15026,45700,1683,93300,1599,80100,
seq_250_27,31125,178100,14839,45200,1680,134300,1637,62500,
seq_250_28,31125,180700,15118,46700,1658,132000,1589,61700,
seq_250_29,31125,186900,15689,48500,1680,138200,1613,75900,
seq_250_30,31125,178200,15525,48300,1695,183400,1596,74200,
seq_250_31,31125,187700,15951,50400,1677,163700,1608,74100,
seq_250_32,31125,276300,15939,85900,1687,169600,1620,190400,
seq_250_33,31125,180600,15475,54000,1691,137600,1623,108900,
seq_250_34,31125,171200,15095,52200,1674,111200,1613,133800,
seq_250_35,31125,182200,15651,48300,1690,158900,1626,76000,
seq_250_36,31125,169200,15739,48000,1684,161100,1648,73500,
seq_250_37,31125,176200,15459,52800,1693,159600,1601,78600,
seq_250_38,31125,183700,16541,51200,1670,158100,1613,74400,
seq_250_39,31125,174400,15811,48100,1682,167800,1619,75800,
seq_250_40,31125,189500,16152,49000,1679,158800,1632,82100,
seq_250_41,31125,322600,15387,72500,1680,322900,1625,154100,
seq_250_42,31125,184300,16399,51200,1681,82300,1566,97500,
seq_250_43,31125,261800,16290,54200,1690,88200,1605,99800,
seq_250_44,31125,182500,17176,52600,1682,128500,1611,75500,
seq_250_45,31125,176400,17274,52700,1667,127900,1613,68000,
seq_250_46,31125,178400,16438,50900,1666,124200,1614,68100,
seq_250_47,31125,174100,16233,49300,1687,109200,1631,63700,
seq_250_48,31125,185700,14531,44600,1679,118600,1606,67100,
seq_250_49,31125,186500,15220,46500,1683,133100,1603,104700,
seq_250_50,31125,246400,16838,40200,1673,47500,1657,120800,
seq_250_51,31125,194900,14691,52000,1678,73700,1612,100400,
seq_250_52,31125,176700,16162,51800,1678,105300,1609,112800,
